Date,Block,Primary Type,Description,Location Description,Ward,Community Area,Year,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
05/31/2019 04:50:00 PM,082XX S KEDZIE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,18,70,2019,"(41.743867618, -87.702228253)",6,4300,69,243,30,8,13,226
05/31/2019 04:30:00 PM,016XX W LELAND AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,47,3,2019,"(41.967046826, -87.670028987)",13,22616,31,559,18,15,5,8
05/31/2019 04:00:00 PM,008XX E 83RD ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,8,44,2019,"(41.743981062, -87.604103927)",9,21546,40,141,35,61,20,241
05/31/2019 03:00:00 PM,069XX S EMERALD AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,VACANT LOT/LAND,6,68,2019,"(41.768402925, -87.643255778)",31,21559,66,479,32,11,17,214
05/31/2019 12:45:00 PM,052XX S HYDE PARK BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,5,41,2019,"(41.800903483, -87.584530624)",1,21192,8,405,33,10,24,122
05/31/2019 11:30:00 AM,022XX W WASHINGTON BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,27,28,2019,"(41.883047996, -87.682829673)",48,21184,29,37,46,28,15,75
05/31/2019 10:30:00 AM,067XX S DR MARTIN LUTHER KING JR DR,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,20,69,2019,"(41.771640763, -87.615418935)",53,22260,67,514,4,60,18,211
05/31/2019 10:00:00 AM,043XX S WESTERN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,15,61,2019,"(41.81503882, -87.684611497)",29,14924,55,718,3,56,23,115
05/31/2019 10:00:00 AM,086XX S ST LAWRENCE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,6,44,2019,"(41.737850045, -87.609709549)",31,21546,40,140,32,61,20,241
05/31/2019 08:48:00 AM,056XX S WOLCOTT AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,15,67,2019,"(41.79140883, -87.671798873)",44,22257,65,345,3,23,17,270
05/31/2019 08:30:00 AM,008XX W BUENA AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,46,3,2019,"(41.958475673, -87.650665062)",37,21186,31,577,39,53,5,5
05/31/2019 05:15:00 AM,128XX S GREEN ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,34,53,2019,"(41.66013509, -87.642535555)",45,22212,50,7,22,27,10,218
05/31/2019 02:50:00 AM,081XX S SPAULDING AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,18,70,2019,"(41.745656811, -87.704713532)",6,4300,69,199,30,8,13,232
05/31/2019 12:00:00 AM,028XX N TALMAN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,33,21,2019,"(41.932572626, -87.693969414)",24,21538,22,467,20,39,7,174
05/31/2019 12:00:00 AM,020XX W 75TH PL,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,18,71,2019,"(41.756834762, -87.674415394)",6,21554,70,573,30,59,20,231
05/30/2019 11:00:00 PM,002XX S LA SALLE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,42,32,2019,"(41.878562742, -87.632267636)",22,14912,38,92,36,29,22,79
